zpid,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,homeImage
88013985,31,0,6,3,0,0,0,0,0,9060,3233,1,0,1,1,1.933333333,8.333333333,1481,16,4,5,2,88013985_6d4b35d2a232c42fcc863317f22401c7-p_f.jpg
70344594,21,1,2,2,1,0,0,0,0,7448,1511,1,0,1,1,2.433333333,2.666666667,1478,13,2,3,1,70344594_3e29ab1c54a4a8ca80360911b9ac7434-p_f.jpg
185217484,20,0,3,2,0,0,0,0,0,7666,2228,1,0,1,1,1.9,8.333333333,1481,16,2,3,1,185217484_1f06634bc9d5424bc0f094f68ca72fe4-p_f.jpg
121719682,36,0,7,2,2,0,0,0,1,10890,4020,1,0,1,1,3.266666667,7.666666667,1259,14,4,4,2,121719682_4a0a90d12c692fe1bd74b32f2a0dc05f-p_f.jpg
116080981,69,0,4,3,0,0,0,0,0,8494,3494,1,0,1,1,3.3,7.666666667,1259,14,5,4,2,116080981_b15ecd54b82b93b6af1408beb22e069f-p_f.jpg
83822421,27,0,3,2,0,0,0,0,0,107593.2,1216,1,0,1,1,5.2,3.333333333,1557,14,5,8,1,83822421_d2ee783cf08d78369db622de9d912464-p_f.jpg
29462564,10,0,4,2,2,0,0,0,0,5183,1534,1,0,1,1,1.8,3,1457,13,3,3,1,29462564_aff81d6f3dad7122ffbbcb7d1f9b5654-p_f.jpg
70355992,35,2,3,2,1,1,0,0,0,7405,1738,1,0,1,1,1.966666667,3,1457,13,2,3,1,70355992_6690775f5053ed747a80d221c069391e-p_f.jpg
89659978,21,0,3,3,2,1,0,1,0,12196.8,2630,1,0,1,1,2.033333333,8.333333333,1481,16,3,5,2,89659978_d06ef54af4f2b1b2734953be777fdd1a-p_f.jpg
70355990,33,0,5,2,0,0,0,0,0,8145,1652,1,0,1,1,1.966666667,3,1457,13,2,3,1,70355990_04f1194f797deba9500ba186fa208bde-p_f.jpg
70333917,38,0,8,2,4,1,0,0,0,30056.4,3402,1,0,1,1,2.066666667,7,1277,16,4,4,2,70333917_38e0174e92f0a3743d95f5d04f1d5a71-p_f.jpg
29471292,29,0,1,2,2,2,0,1,0,102366,2350,1,0,1,1,4.766666667,3.333333333,1557,14,2,3,1,29471292_a9150842bcf2dc6dae364d7672902d31-p_f.jpg
241932966,40,0,4,2,0,0,0,0,0,6141,1634,1,0,1,1,2.9,3.666666667,1532,12,2,3,1,241932966_46ca4698d275a217ccb3769b948981b9-p_f.jpg
116080975,1,0,3,3,1,0,0,2,0,8363,3047,1,0,1,1,3.3,7.666666667,1259,14,4,4,1,116080975_cac79f1904989e8f3640cbcfc8af9d44-p_f.jpg
145656987,29,0,7,1,0,0,0,0,0,5532,1399,1,0,1,1,1.933333333,3,1457,13,2,3,1,145656987_2c1694d51de6eb66a9b07aa072424cee-p_f.jpg
83821490,35,0,1,0,0,0,0,0,0,411206.4,1264,1,0,1,1,5.366666667,3.333333333,1557,14,2,3,1,83821490_1d83f660921ba6ef4a3485f358d249a1-p_f.jpg
70333915,37,0,4,1,1,3,0,1,0,19166.4,3573,1,0,1,1,2,7,1277,16,5,4,2,70333915_0fe8e2a4788af409a614f3d71ecf0716-p_f.jpg
29462467,24,0,4,1,0,1,0,0,0,6229,2035,1,0,1,1,1.766666667,3,1457,13,3,3,2,29462467_3f093674703b058a46b604365489a9d5-p_f.jpg
89548387,26,0,4,1,0,0,0,0,0,6751,1304,1,0,1,1,3.266666667,3,1457,13,2,3,1,89548387_b6027ef7ab78590dc5a41affbb760d93-p_f.jpg
29366912,40,0,7,2,0,0,0,0,0,106286.4,7284,1,0,1,1,4.1,7,1277,16,7,7,2,29366912_2fa103c62c3954827b01dfd5c0fc162a-p_f.jpg
241932964,31,0,7,2,0,0,0,0,0,7100,1907,1,0,1,1,2.9,3.666666667,1532,12,3,3,2,241932964_09dbc9cc200c38b90ad407437650e0ef-p_f.jpg
29376494,8,0,2,2,2,2,0,1,0,10890,2484,1,0,1,1,1.233333333,8,1275,15,3,4,2,29376494_d9dabbf0b67c2925b0e601b5527c0e28-p_f.jpg
69808963,24,0,6,1,0,0,0,0,0,4399,2088,1,0,1,1,1.9,3,1457,13,3,4,1,69808963_db27c0b5ccf2da4dee52c45796a1aa73-p_f.jpg
121656950,31,0,2,0,0,0,0,0,0,43560,2100,1,0,1,1,4.9,3.666666667,1532,12,3,4,1,121656950_01599f7b866d95d24ec6f517e434deeb-p_f.jpg
185217474,41,0,5,2,2,0,0,2,0,6786,2134,1,0,1,1,2,8.333333333,1481,16,3,3,2,185217474_73833b9f2238b43e13f8bea4d94f1b0e-p_f.jpg
29366911,56,0,4,3,3,0,2,0,0,86684.4,4747,1,0,1,1,4.166666667,7,1277,16,5,5,1,29366911_27203f417a9aeda9e64c5540f2e3123a-p_f.jpg
145657963,40,0,4,2,1,4,0,0,0,8537,2629,1,0,1,1,3.133333333,3.666666667,1532,12,3,3,1,145657963_002ab55328769f202926f80ba7905f5f-p_f.jpg
29370494,50,0,6,2,2,2,0,0,0,11325.6,2567,1,0,1,1,1.166666667,9,1616,16,3,4,2,29370494_e0dd4cf4ce44a966f105f7c4f53bed6a-p_f.jpg
89548844,6,0,3,1,0,0,0,0,0,7797,1420,1,0,1,1,3.3,3,1457,13,2,3,1,89548844_7c09c2874d6229ab2a66778ef49e39a5-p_f.jpg
125901465,28,0,5,2,1,1,0,0,0,4617,1267,1,0,1,1,1.9,3,1457,13,2,3,1,125901465_d02a94df74ea55600d0eaa1a0b357fc3-p_f.jpg
63228462,25,0,0,1,0,0,0,0,0,5924,1194,1,0,1,1,1.833333333,3,1457,13,2,3,1,63228462_cb341a255f875034524d1f4891127c77-p_f.jpg
96639474,28,0,3,2,2,1,0,1,0,5619,2142,1,0,1,1,2.3,6,1228,14,2,3,1,96639474_cd2c016209f6d3cae48b6b6c34ec7887-p_f.jpg
80094409,40,0,4,4,0,0,0,0,0,68389.2,9591,1,0,1,1,3.533333333,7,1277,16,7,5,2,80094409_18d24472ab3cd2cf322d28f398d940b9-p_f.jpg
64431038,25,0,2,1,3,2,0,0,0,1001880,2169,1,0,1,1,4.633333333,3.333333333,1557,14,3,3,2,64431038_99c51aa620f9878b45ee5ba3a3feb7a2-p_f.jpg
89547842,9,0,5,1,0,0,0,0,0,5445,1296,1,0,1,1,3.333333333,3,1457,13,2,3,1,89547842_b6b804760701b8719f049c4d6f544971-p_f.jpg
251030464,22,0,3,2,0,0,0,0,0,6098,2570,1,0,1,1,2.2,2.666666667,1478,13,3,4,2,251030464_c0a5e963f806014e275b749adc5a45ad-p_f.jpg
29376491,1,0,3,1,0,0,0,0,0,9147,3140,1,0,1,1,1.233333333,8,1275,15,3,5,2,29376491_0d3f82df2d803552caa7d32f0382da76-p_f.jpg
241932962,67,0,4,2,1,1,0,1,0,6141,2068,1,0,1,1,2.9,3.666666667,1532,12,3,4,2,241932962_d3185ef7e2fd52aa89a4c34687a1dc7e-p_f.jpg
64729016,31,0,3,2,2,0,0,0,0,64468.8,2736,1,0,1,1,4.833333333,3.333333333,1557,14,2,4,1,64729016_4959764cf0cce27d3a1c6ad9bc31ec0a-p_f.jpg
70355962,27,0,5,2,1,1,0,0,0,5749,1807,1,0,1,1,1.866666667,3,1457,13,2,4,1,70355962_e27d5d4ed70a50b13eae203d2fc90546-p_f.jpg
29376490,60,0,5,2,1,1,0,0,0,8624,2956,1,0,1,1,1.233333333,8,1275,15,3,5,1,29376490_6cc91f2ddfc3cd71e81a079fe62c4f97-p_f.jpg
29366907,43,0,2,2,0,0,0,0,0,24829.2,8800,1,0,1,1,4.166666667,7,1277,16,8,5,3,29366907_633eb2a3838f13b8d477328e545d3958-p_f.jpg
250825472,31,0,4,3,1,2,0,1,0,5536,2595,1,0,1,1,2.1,8.333333333,1481,16,3,5,2,250825472_38f4150d83b5c3331ccc33c74b05df24-p_f.jpg
89550834,19,0,5,1,0,0,0,0,0,9626,1420,1,0,1,1,3.3,3,1457,13,2,3,1,89550834_a3f403bed6efd46384f6b8b3b4e5bc11-p_f.jpg
64674953,26,0,2,2,0,0,0,0,0,5314,1929,1,0,1,1,1.633333333,3,1457,13,2,3,1,64674953_2a31287d221c62f46c92d5f30afecb32-p_f.jpg
29374483,23,0,4,2,1,0,0,0,0,14810.4,2170,0,1,1,1,1.2,8.666666667,1632,16,2,4,1,29374483_d8dc18af641024d419e64be0f3077999-p_f.jpg
29461422,30,0,2,1,0,1,0,0,0,6969,1592,1,0,1,1,1.766666667,3,1457,13,3,3,2,29461422_45e13d21209524fe7bcdca4eb7993042-p_f.jpg
116080970,40,0,3,2,1,0,0,0,0,12632.4,3837,1,0,1,1,3.266666667,7.666666667,1259,14,5,5,2,116080970_da4c525e992ff6064c3bb5253ec6ea55-p_f.jpg
70333905,36,0,3,1,0,0,0,0,0,58806,3450,1,0,1,1,1.9,7,1277,16,4,4,1,70333905_65f767ce5beebe99666bc73599247f7f-p_f.jpg
29557482,19,0,4,3,0,0,0,0,0,16552.8,1239,1,0,1,1,1.766666667,5.333333333,1369,12,2,3,1,29557482_b7c3f25d4b5372cf3537b413c39603bb-p_f.jpg
241932948,40,0,4,1,0,0,0,1,0,5488,1449,1,0,1,1,2.9,3.666666667,1532,12,2,3,1,241932948_d842e6ea12b786e70514ac3aaeab8c48-p_f.jpg
29461406,18,0,3,1,1,0,0,0,0,5227,1335,1,0,1,1,1.733333333,3,1457,13,2,3,1,29461406_fc2e2e3c6aeaa5ff2b4527aa52525ce4-p_f.jpg
2081704483,1,0,3,1,0,1,0,1,0,4800,1514,1,0,1,1,3.133333333,3,1457,13,2,3,1,2081704483_e6ce5e9571c30c0035d3ab23de8a4b5a-p_f.jpg
116080962,30,0,2,2,1,0,0,0,0,15681.6,3111,1,0,1,1,3.266666667,7.666666667,1259,14,3,4,1,116080962_dcb0700b67a619e98e210f045410bd50-p_f.jpg
29376480,65,0,2,2,2,0,0,2,0,8973,3113,1,0,1,1,1.2,8,1275,15,3,4,2,29376480_a23f17b68055f8ee74eaa60a14a6d24e-p_f.jpg
241932946,1,0,4,1,0,0,0,0,0,5662,1973,1,0,1,1,2.9,3.666666667,1532,12,3,3,2,241932946_streetviewlocation8016AnnaliseDr2CAustin2CTX78744size1025x768keyAIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQsourceoutdoorsignatureShWz5TiUtsJ_03u0xyRLha30P2c.jpg
29351492,26,0,3,1,0,0,0,0,0,3963,1487,1,0,1,1,3.4,7,1177,16,2,2,1,29351492_e2adf1d6929d627dcb843daa31561bab-p_f.jpg
241932900,27,0,3,1,0,0,0,0,0,5749,1370,1,0,1,1,1.833333333,3,1457,13,2,3,1,241932900_c89019467b1f44ad7cc23fc58bea8ecf-p_f.jpg
29370900,67,0,2,2,1,3,0,0,0,7666,3055,1,0,1,1,2.1,7,1277,16,4,4,2,29370900_130c0ecaa8beb4d1ba2917cb717c3697-p_f.jpg
110538990,14,0,2,1,0,0,0,0,0,6368,2283,1,0,1,1,0.6,7,1381,16,3,4,2,110538990_97e430751562d9ac6fe6a264dbcc16e9-p_f.jpg
29372980,37,0,2,1,0,0,0,0,0,9539,3115,1,0,1,1,1.533333333,8,1275,15,3,4,2,29372980_78dd4150ed4ddc44364bc3685fcc5fde-p_f.jpg
29459947,23,0,7,2,0,0,0,1,0,5558,1419,1,0,1,1,1.666666667,3,1457,13,2,3,1,29459947_3bbdd022015b49e93653ca56a9aabbae-p_f.jpg
241932936,78,0,2,2,1,0,0,0,0,6969,2682,1,0,1,1,2.9,3.666666667,1532,12,5,7,2,241932936_771b1c204b57eabe2b1f4d93baadf960-p_f.jpg
89550803,32,0,2,2,1,1,0,0,0,4573,1936,1,0,1,1,3.2,3,1457,13,3,4,2,89550803_fbd8b4c0ad06d22e6e2829d23f47bd0e-p_f.jpg
29370898,38,0,3,2,0,0,0,0,0,10105,3794,1,0,1,1,2.133333333,7,1277,16,4,4,2,29370898_b7a4095625679818e62ddcb0fc7ee163-p_f.jpg
29358990,36,0,5,1,0,0,0,0,0,10367,2967,1,0,1,1,2.933333333,7,1523,17,3,4,2,29358990_396b3962b1feea00757733f6df320160-p_f.jpg
116080957,43,0,3,2,0,0,0,0,0,7501,3787,1,0,1,1,3.3,7.666666667,1259,14,4,5,2,116080957_c921a4d10b6e04c8e1a66606c4b97f2c-p_f.jpg
111373282,47,0,3,2,0,0,0,0,0,7623,2314,1,0,1,1,1.333333333,2.666666667,1063,14,3,5,1,111373282_acd23f6cb465406b70944856ba492015-p_f.jpg
29375979,40,0,7,1,2,1,0,1,0,11325.6,2753,0,1,1,1,0.833333333,8.666666667,1632,16,3,5,1,29375979_ce1a0b7a73467dde6f89e6d44806af8e-p_f.jpg
241932935,22,0,4,1,0,0,0,0,0,6185,2068,1,0,1,1,2.9,3.666666667,1532,12,3,4,2,241932935_a361f05d3ce65d34c8c487cf81d1dbf9-p_f.jpg
80115957,27,0,4,3,1,1,0,1,0,5140,1791,1,0,1,1,1.633333333,8.333333333,1481,16,3,3,2,80115957_98c24679c2e2600eb5d8b8e7f81fe0c8-p_f.jpg
29370894,1,0,3,1,0,0,0,0,0,11325.6,3338,1,0,1,1,2.133333333,7,1277,16,4,4,2,29370894_7c0cd0e23ab3836b33a2073107873630-p_f.jpg
121658485,25,0,3,2,0,0,0,0,0,6368,2283,1,0,1,1,0.6,7,1381,16,3,4,2,121658485_657ae46d61321edda8b1cf19d9eb5937-p_f.jpg
29375978,39,0,3,1,1,1,0,1,0,27442.8,2997,0,1,1,1,0.833333333,8.666666667,1632,16,3,4,1,29375978_4ed7a2e168f1bf6816488f49be8c6f5d-p_f.jpg
145654939,22,0,3,1,0,0,0,1,0,7274,1225,1,0,1,1,2.033333333,3,1457,13,2,3,1,145654939_1a9c9b02e8dd936c11cf5c463caa085b-p_f.jpg
29370884,120,0,3,2,1,2,0,1,0,9670,2864,1,0,1,1,2.066666667,7,1277,16,3,5,1,29370884_6c41413b94715359f49a9d52801a9e54-p_f.jpg
29351485,1,0,7,1,0,2,0,1,0,3920,1573,1,0,1,1,3.433333333,7,1177,16,2,3,1,29351485_streetviewlocation5706EagleClfs2CAustin2CTX78731size1025x768keyAIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQsourceoutdoorsignatureBWDEjBNCW6Azo4RpWSsrAtimyRM.jpg
29372475,55,0,3,2,1,1,0,0,0,10454,2656,1,0,1,1,1.2,9,1616,16,3,4,2,29372475_a8bc2b2002340b1caabb5312d728bd11-p_f.jpg
185218453,40,0,4,3,2,1,0,1,0,5140,1975,1,0,1,1,2,8.333333333,1481,16,3,4,2,185218453_3e973c89630316bc19e884e7d0875fce-p_f.jpg
29392994,23,0,1,1,0,0,0,0,0,9452,1745,1,0,1,1,2.466666667,3.666666667,480,14,2,4,1,29392994_50a3b8245fddfcdc15acb4696d4041b0-p_f.jpg
111371253,34,0,4,1,0,0,0,0,0,8276,1375,1,0,1,1,1.333333333,2.666666667,1063,14,2,3,1,111371253_e6f6fdb1824baa0b4d7eef8b4328c922-p_f.jpg
2088245915,5,0,4,1,0,0,0,0,0,6969,2502,1,0,1,1,3.1,3.666666667,1532,12,3,4,1,2088245915_c4dcf787e2a00775000b2a425956abb5-p_f.jpg
29373974,19,0,3,2,0,0,0,0,0,16988.4,2313,0,1,1,1,1.1,8.666666667,1632,16,2,4,1,29373974_63156988f43efa7c8066bdf9447cffcd-p_f.jpg
29360984,37,0,7,2,0,1,0,1,0,15246,2700,1,0,1,1,2.5,7,1523,17,3,4,2,29360984_0f41daba314e5845c30d3e680d1899b1-p_f.jpg
241932874,44,0,3,2,0,0,0,0,0,5706,1480,1,0,1,1,1.833333333,3,1457,13,2,3,1,241932874_94a64ae7f4f19f396dc0ea66024907f6-p_f.jpg
145551433,24,0,3,1,2,1,0,0,0,6194,1321,1,0,1,1,2.233333333,3,1457,13,3,3,2,145551433_639c22f4eb120ed1dcf05c7c192d9b44-p_f.jpg
29376473,19,0,0,1,0,0,0,0,0,7230,2267,1,0,1,1,1.2,8,1275,15,2,4,1,29376473_20d64be80bb169dac23e2b7cb57ce8a1-p_f.jpg
305430992,44,0,1,2,2,2,0,1,0,5749,2508,1,0,1,2,2.933333333,3.666666667,1085,11,3,3,1,305430992_5db0152ef494c8dab75fa8b923fb0ea1-p_f.jpg
251030246,26,0,3,2,0,1,0,0,0,12196.8,1791,1,0,1,1,1.2,3.666666667,1051,12,2,3,1,251030246_3d6d66744808829175db8901e6698a2d-p_f.jpg
29347484,56,0,2,2,0,0,0,0,0,142441.2,4491,1,0,1,1,2.466666667,7,1381,16,7,5,2,29347484_d5b8a2496f8b041ccffeefcfb39c3d96-p_f.jpg
69811366,19,0,3,1,0,0,0,0,0,4007,1268,1,0,1,1,1.733333333,3,1457,13,2,3,1,69811366_19575c626e9648168addf130c96f1aa6-p_f.jpg
116080950,36,0,3,2,0,0,0,0,0,7187,2903,1,0,1,1,3.266666667,7.666666667,1259,14,3,3,1,116080950_a47bd83bd40bcab2d2cb8a4b45c9386e-p_f.jpg
29370873,32,0,5,1,1,0,0,0,0,11325.6,3033,1,0,1,1,2.033333333,7,1277,16,4,4,2,29370873_5a91f4cf2057f56c26e1a8c450096270-p_f.jpg
83814991,33,0,3,1,0,0,0,0,0,12196.8,2573,1,0,1,2,2.733333333,3.666666667,1085,11,3,3,2,83814991_60571fe6ae8247cb6a658960e98f5c37-p_f.jpg
29375973,77,0,7,2,3,1,0,0,0,13503.6,2340,0,1,1,1,0.9,8.666666667,1632,16,3,4,2,29375973_cd7ca8a6c4aa99a615309ae1224fb5f5-p_f.jpg
116080945,40,0,3,2,0,0,0,0,0,7710,3187,1,0,1,1,3.266666667,7.666666667,1259,14,3,4,2,116080945_7ff2d6c58bdca96bd7529a9bd0a5455d-p_f.jpg
29370860,55,0,1,3,4,2,0,0,0,7492,3675,1,0,1,1,2.133333333,7,1277,16,4,5,2,29370860_fa5955960270a80ec36404fd966cfa46-p_f.jpg
249890717,1,0,3,2,0,1,0,1,0,5000,1641,1,0,1,1,3.166666667,3,1457,13,2,3,1,249890717_493aa9d534f7f1cb4c6d0609f78dbb29-p_f.jpg
2082177903,8,0,0,0,1,0,0,0,0,5532,1413,1,0,1,1,2.966666667,3.666666667,1532,12,2,3,1,2082177903_1ab8fd41c388b62b3899423de539185a-p_f.jpg
63835425,24,0,4,2,0,0,0,0,0,6229,1326,1,0,1,1,2.166666667,2.666666667,1478,13,2,3,1,63835425_d26547fdc68fee80dca2b40aa56cbc5f-p_f.jpg
70341361,24,0,5,1,0,0,0,1,0,4312,1203,1,0,1,1,1.866666667,3,1457,13,2,3,1,70341361_0aa4738e64e991e0439b03bab3815dc4-p_f.jpg
29358983,110,0,4,2,1,0,0,1,0,8319,2922,1,0,1,1,2.833333333,7,1523,17,4,3,2,29358983_7a6061cff847fcdcd418ce2d4c29b938-p_f.jpg
29374973,38,1,3,2,5,3,0,0,0,7405,2428,1,0,1,1,1.466666667,8,1275,15,3,3,2,29374973_f7c3773b88471aedb3529d5ce94f9736-p_f.jpg
89550707,24,0,4,2,1,3,0,0,0,10000,1256,1,0,1,1,3.3,3,1457,13,2,3,1,89550707_4f2d54f811ad9ebd013be38375aff314-p_f.jpg
114405230,33,0,3,1,0,0,0,0,0,6011,3047,1,0,1,1,1.3,2.666666667,1063,14,3,3,2,114405230_cdee5cae2bdc0cfe998f546658c4a080-p_f.jpg
29459909,25,0,4,1,0,0,0,1,0,7274,1712,1,0,1,1,1.7,3,1457,13,3,3,2,29459909_0de1440d8482dcdbe0148dbde9d1b8a0-p_f.jpg
29375972,40,0,0,1,0,0,0,0,0,13503.6,2234,0,1,1,1,0.9,8.666666667,1632,16,3,3,1,29375972_a73d2411f33138da0a0cb6218092bcca-p_f.jpg
29396983,17,0,2,2,0,0,0,0,0,4835,1315,1,0,1,2,3.1,3.666666667,1085,11,2,3,1,29396983_51b5ae2441ebbcbe9b5596287004c9f5-p_f.jpg
58299481,1,0,0,1,0,0,0,0,0,20037.6,2089,1,0,1,1,2.2,7,1523,17,2,3,1,58299481_streetviewlocation7609CrossmeadowDr2CAustin2CTX78750size1025x768keyAIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQsourceoutdoorsignaturere1GTHl3NEHzNE7TXvzAzFMurtQ.jpg
145656393,35,0,7,1,2,2,0,1,0,9626,3319,1,0,1,1,3.066666667,3.666666667,1532,12,3,5,2,145656393_6818f5f53a4a75f554f8343fc1313b62-p_f.jpg
116080940,1,0,6,3,0,0,0,0,0,7230,3415,1,0,1,1,3.3,7.666666667,1259,14,4,5,2,116080940_streetviewlocation14205GeneseeTrl2CAustin2CTX78717size1025x768keyAIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQsourceoutdoorsignatureZMfVUf9AEANUq2IuU3yaWEaC7sQ.jpg
29370850,87,0,1,2,0,0,0,0,0,18295.2,4137,1,0,1,1,2.033333333,7,1277,16,4,5,2,29370850_d8a1b96226836fa6236d53cd75751010-p_f.jpg
29459907,24,0,5,1,0,0,0,0,0,5880,1587,1,0,1,1,1.7,3,1457,13,2,4,1,29459907_9852dcf5e7756fc6426a7348c92a2550-p_f.jpg
29374967,55,0,7,2,1,2,0,1,0,6054,2766,1,0,1,1,1.4,8,1275,15,3,4,2,29374967_b73eb0bc2c7b69ade2b539a00697553a-p_f.jpg
2082038175,2,0,2,0,0,0,0,0,0,5000,2643,1,0,1,1,3.133333333,3,1457,13,3,4,2,2082038175_457fd02d2caf702afb49207c45707748-p_f.jpg
29358997,20,0,1,2,2,0,0,0,0,8537,2576,1,0,1,1,2.833333333,7,1523,17,3,3,2,29358997_840905ed1fd38cbd3126abf041c00f49-p_f.jpg
70341359,26,0,7,2,0,0,0,0,0,4312,1203,1,0,1,1,1.866666667,3,1457,13,2,3,1,70341359_48f74bf38af3d4706f1da2ad712812e3-p_f.jpg
185217435,40,0,3,2,0,0,0,0,0,10236,3257,1,0,1,1,1.866666667,8.333333333,1481,16,4,5,2,185217435_b36737cae7ae833340b472cbe7341cb8-p_f.jpg
120898222,60,0,4,2,1,2,0,0,0,6141,2505,1,0,1,1,1.4,2.666666667,1063,14,3,4,2,120898222_11ef093d6e908efe0c1877acef0ac489-p_f.jpg
83823977,35,0,4,1,0,0,0,0,0,6098,1659,1,0,1,2,2.766666667,3.666666667,1085,11,3,3,2,83823977_d477586bfb2f6f16d9d8efc755234add-p_f.jpg
70352470,40,0,4,3,0,1,0,1,0,19166.4,3486,1,0,1,1,2.5,8.333333333,1533,17,4,4,2,70352470_82a2d24745ac58972ba1517b10aed28a-p_f.jpg
145551402,20,0,4,2,1,1,0,0,0,6098,1321,1,0,1,1,2.2,3,1457,13,3,3,2,145551402_2c73e550fd428d230f197122fbfa1d45-p_f.jpg
29355980,1,0,3,2,0,0,0,0,0,55321.2,2100,1,0,1,1,4.833333333,7,1177,16,2,3,1,29355980_streetviewlocation7903EntradaCv2CAustin2CTX78730size1025x768keyAIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQsourceoutdoorsignatureukwWnElc9qYCZZ17lBgS2QhXtGg.jpg
29465172,22,0,1,0,0,0,0,0,0,14374.8,1500,1,0,1,1,2.9,3,1457,13,2,3,1,29465172_a1bb96053b0d0bcd4db921d8ea436af2-p_f.jpg
58300466,27,0,5,2,0,3,0,1,0,8520,1616,0,1,1,1,0.933333333,8.666666667,1632,16,3,3,2,58300466_0303dac26e7b0926b6b693edc6027d0b-p_f.jpg
29438720,28,0,3,2,0,0,0,0,0,6795,2046,0,2,1,1,1,3,1108,14,2,4,1,29438720_a9ef0fddf50272923c0fc3130235375e-p_f.jpg
